START,END,FACILITY,TESTED,POSITIVE,NEGATIVE,PENDING,DECEASED,RECOVERED
2020-10-02,2020-10-06,DOCCS,1407,12,1165,230,0,0
2020-10-02,2020-10-06,ADIRONDACK,0,0,0,0,0,0
2020-10-02,2020-10-06,ALBION,0,0,0,0,0,0
2020-10-02,2020-10-06,ALTONA,109,0,142,-33,0,0
2020-10-02,2020-10-06,ATTICA,0,0,1,-1,0,0
2020-10-02,2020-10-06,AUBURN,2,0,1,1,0,0
2020-10-02,2020-10-06,BARE HILL,0,0,0,0,0,0
2020-10-02,2020-10-06,BEDFORD HILL,0,0,0,0,0,0
2020-10-02,2020-10-06,CAPE VINCENT,222,0,152,70,0,0
2020-10-02,2020-10-06,CAYUGA,1,0,0,1,0,0
2020-10-02,2020-10-06,CLINTON,209,0,57,152,0,0
2020-10-02,2020-10-06,COLLINS,0,0,0,0,0,0
2020-10-02,2020-10-06,COXSACKIE,0,0,0,0,0,0
2020-10-02,2020-10-06,DOWNSTATE,0,0,0,0,0,0
2020-10-02,2020-10-06,EASTERN,0,0,0,0,0,0
2020-10-02,2020-10-06,EDGECOMBE,0,0,0,0,0,0
2020-10-02,2020-10-06,ELMIRA,3,2,0,1,0,0
2020-10-02,2020-10-06,FISHKILL,0,0,0,0,0,0
2020-10-02,2020-10-06,FIVE POINTS,0,0,0,0,0,0
2020-10-02,2020-10-06,FRANKLIN,0,0,1,-1,0,0
2020-10-02,2020-10-06,GOUVERNEUR,286,0,310,-24,0,0
2020-10-02,2020-10-06,GOWANDA,0,0,0,0,0,0
2020-10-02,2020-10-06,GREAT MEADOW,0,0,0,0,0,0
2020-10-02,2020-10-06,GREEN HAVEN,0,0,-1,1,0,0
2020-10-02,2020-10-06,GREENE,84,10,2,72,0,0
2020-10-02,2020-10-06,GROVELAND,1,0,1,0,0,0
2020-10-02,2020-10-06,HALE CREEK,0,0,0,0,0,0
2020-10-02,2020-10-06,HUDSON,0,0,0,0,0,0
2020-10-02,2020-10-06,LAKEVIEW,0,0,0,0,0,0
2020-10-02,2020-10-06,MARCY,1,0,0,1,0,0
2020-10-02,2020-10-06,MIDSTATE,1,0,0,1,0,0
2020-10-02,2020-10-06,MOHAWK,0,0,2,-2,0,0
2020-10-02,2020-10-06,MORIAH,0,0,0,0,0,0
2020-10-02,2020-10-06,OGDENSBURG,130,0,169,-39,0,0
2020-10-02,2020-10-06,ORLEANS,0,0,0,0,0,0
2020-10-02,2020-10-06,OTISVILLE,0,0,0,0,0,0
2020-10-02,2020-10-06,QUEENSBORO,0,0,0,0,0,0
2020-10-02,2020-10-06,RIVERVIEW,221,0,199,22,0,0
2020-10-02,2020-10-06,ROCHESTER,0,0,0,0,0,0
2020-10-02,2020-10-06,SHAWANGUNK,0,0,0,0,0,0
2020-10-02,2020-10-06,SING SING,0,0,0,0,0,0
2020-10-02,2020-10-06,SOUTHPORT,0,0,0,0,0,0
2020-10-02,2020-10-06,SULLIVAN,0,0,0,0,0,0
2020-10-02,2020-10-06,TACONIC,0,0,0,0,0,0
2020-10-02,2020-10-06,ULSTER,0,0,0,0,0,0
2020-10-02,2020-10-06,UPSTATE,0,0,0,0,0,0
2020-10-02,2020-10-06,WALLKILL,0,0,0,0,0,0
2020-10-02,2020-10-06,WASHINGTON,0,0,0,0,0,0
2020-10-02,2020-10-06,WATERTOWN,138,0,131,7,0,0
2020-10-02,2020-10-06,WENDE,-1,0,-1,0,0,0
2020-10-02,2020-10-06,WILLARD,0,0,0,0,0,0
2020-10-02,2020-10-06,WOODBOURNE,0,0,-1,1,0,0
2020-10-02,2020-10-06,WYOMING,0,0,0,0,0,0
2020-10-01,2020-10-02,DOCCS,374,3,420,-49,0,0
2020-10-01,2020-10-02,ADIRONDACK,0,1,-1,0,0,0
2020-10-01,2020-10-02,ALBION,0,0,0,0,0,0
2020-10-01,2020-10-02,ALTONA,35,0,36,-1,0,0
2020-10-01,2020-10-02,ATTICA,1,0,2,-1,0,0
2020-10-01,2020-10-02,AUBURN,0,0,1,-1,0,0
2020-10-01,2020-10-02,BARE HILL,0,0,0,0,0,0
2020-10-01,2020-10-02,BEDFORD HILL,0,0,0,0,0,0
2020-10-01,2020-10-02,CAPE VINCENT,76,0,74,2,0,0
2020-10-01,2020-10-02,CAYUGA,0,0,0,0,0,0
2020-10-01,2020-10-02,CLINTON,34,0,0,34,0,0
2020-10-01,2020-10-02,COLLINS,-4,0,64,-68,0,0
2020-10-01,2020-10-02,COXSACKIE,0,0,0,0,0,0
2020-10-01,2020-10-02,DOWNSTATE,0,0,0,0,0,0
2020-10-01,2020-10-02,EASTERN,0,0,0,0,0,0
2020-10-01,2020-10-02,EDGECOMBE,0,0,0,0,0,0
2020-10-01,2020-10-02,ELMIRA,2,1,0,1,0,0
2020-10-01,2020-10-02,FISHKILL,0,0,0,0,0,0
2020-10-01,2020-10-02,FIVE POINTS,0,0,0,0,0,0
2020-10-01,2020-10-02,FRANKLIN,0,0,0,0,0,0
2020-10-01,2020-10-02,GOUVERNEUR,100,0,61,39,0,0
2020-10-01,2020-10-02,GOWANDA,0,0,49,-49,0,0
2020-10-01,2020-10-02,GREAT MEADOW,0,0,0,0,0,0
2020-10-01,2020-10-02,GREEN HAVEN,0,0,-1,1,0,0
2020-10-01,2020-10-02,GREENE,0,1,0,-1,0,0
2020-10-01,2020-10-02,GROVELAND,0,0,0,0,0,0
2020-10-01,2020-10-02,HALE CREEK,0,0,0,0,0,0
2020-10-01,2020-10-02,HUDSON,0,0,0,0,0,0
2020-10-01,2020-10-02,LAKEVIEW,0,0,0,0,0,0
2020-10-01,2020-10-02,MARCY,0,0,0,0,0,0
2020-10-01,2020-10-02,MIDSTATE,0,0,0,0,0,0
2020-10-01,2020-10-02,MOHAWK,0,0,0,0,0,0
2020-10-01,2020-10-02,MORIAH,0,0,0,0,0,0
2020-10-01,2020-10-02,OGDENSBURG,31,0,48,-17,0,0
2020-10-01,2020-10-02,ORLEANS,0,0,0,0,0,0
2020-10-01,2020-10-02,OTISVILLE,0,0,0,0,0,0
2020-10-01,2020-10-02,QUEENSBORO,0,0,0,0,0,0
2020-10-01,2020-10-02,RIVERVIEW,65,0,50,15,0,0
2020-10-01,2020-10-02,ROCHESTER,0,0,0,0,0,0
2020-10-01,2020-10-02,SHAWANGUNK,0,0,0,0,0,0
2020-10-01,2020-10-02,SING SING,0,0,-1,1,0,0
2020-10-01,2020-10-02,SOUTHPORT,0,0,0,0,0,0
2020-10-01,2020-10-02,SULLIVAN,1,0,0,1,0,0
2020-10-01,2020-10-02,TACONIC,0,0,0,0,0,0
2020-10-01,2020-10-02,ULSTER,0,0,0,0,0,0
2020-10-01,2020-10-02,UPSTATE,0,0,0,0,0,0
2020-10-01,2020-10-02,WALLKILL,0,0,0,0,0,0
2020-10-01,2020-10-02,WASHINGTON,0,0,0,0,0,0
2020-10-01,2020-10-02,WATERTOWN,33,0,36,-3,0,0
2020-10-01,2020-10-02,WENDE,0,0,2,-2,0,0
2020-10-01,2020-10-02,WILLARD,0,0,0,0,0,0
2020-10-01,2020-10-02,WOODBOURNE,0,0,0,0,0,0
2020-10-01,2020-10-02,WYOMING,0,0,0,0,0,0
2020-10-02,2020-10-02,DOCCS,0,0,0,0,0,0
2020-10-02,2020-10-02,ADIRONDACK,0,0,0,0,0,0
2020-10-02,2020-10-02,ALBION,0,0,0,0,0,0
2020-10-02,2020-10-02,ALTONA,0,0,0,0,0,0
2020-10-02,2020-10-02,ATTICA,0,0,0,0,0,0
2020-10-02,2020-10-02,AUBURN,0,0,0,0,0,0
2020-10-02,2020-10-02,BARE HILL,0,0,0,0,0,0
2020-10-02,2020-10-02,BEDFORD HILL,0,0,0,0,0,0
2020-10-02,2020-10-02,CAPE VINCENT,0,0,0,0,0,0
2020-10-02,2020-10-02,CAYUGA,0,0,0,0,0,0
2020-10-02,2020-10-02,CLINTON,0,0,0,0,0,0
2020-10-02,2020-10-02,COLLINS,0,0,0,0,0,0
2020-10-02,2020-10-02,COXSACKIE,0,0,0,0,0,0
2020-10-02,2020-10-02,DOWNSTATE,0,0,0,0,0,0
2020-10-02,2020-10-02,EASTERN,0,0,0,0,0,0
2020-10-02,2020-10-02,EDGECOMBE,0,0,0,0,0,0
2020-10-02,2020-10-02,ELMIRA,0,0,0,0,0,0
2020-10-02,2020-10-02,FISHKILL,0,0,0,0,0,0
2020-10-02,2020-10-02,FIVE POINTS,0,0,0,0,0,0
2020-10-02,2020-10-02,FRANKLIN,0,0,0,0,0,0
2020-10-02,2020-10-02,GOUVERNEUR,0,0,0,0,0,0
2020-10-02,2020-10-02,GOWANDA,0,0,0,0,0,0
2020-10-02,2020-10-02,GREAT MEADOW,0,0,0,0,0,0
2020-10-02,2020-10-02,GREEN HAVEN,0,0,0,0,0,0
2020-10-02,2020-10-02,GREENE,0,0,0,0,0,0
2020-10-02,2020-10-02,GROVELAND,0,0,0,0,0,0
2020-10-02,2020-10-02,HALE CREEK,0,0,0,0,0,0
2020-10-02,2020-10-02,HUDSON,0,0,0,0,0,0
2020-10-02,2020-10-02,LAKEVIEW,0,0,0,0,0,0
2020-10-02,2020-10-02,MARCY,0,0,0,0,0,0
2020-10-02,2020-10-02,MIDSTATE,0,0,0,0,0,0
2020-10-02,2020-10-02,MOHAWK,0,0,0,0,0,0
2020-10-02,2020-10-02,MORIAH,0,0,0,0,0,0
2020-10-02,2020-10-02,OGDENSBURG,0,0,0,0,0,0
2020-10-02,2020-10-02,ORLEANS,0,0,0,0,0,0
2020-10-02,2020-10-02,OTISVILLE,0,0,0,0,0,0
2020-10-02,2020-10-02,QUEENSBORO,0,0,0,0,0,0
2020-10-02,2020-10-02,RIVERVIEW,0,0,0,0,0,0
2020-10-02,2020-10-02,ROCHESTER,0,0,0,0,0,0
2020-10-02,2020-10-02,SHAWANGUNK,0,0,0,0,0,0
2020-10-02,2020-10-02,SING SING,0,0,0,0,0,0
2020-10-02,2020-10-02,SOUTHPORT,0,0,0,0,0,0
2020-10-02,2020-10-02,SULLIVAN,0,0,0,0,0,0
2020-10-02,2020-10-02,TACONIC,0,0,0,0,0,0
2020-10-02,2020-10-02,ULSTER,0,0,0,0,0,0
2020-10-02,2020-10-02,UPSTATE,0,0,0,0,0,0
2020-10-02,2020-10-02,WALLKILL,0,0,0,0,0,0
2020-10-02,2020-10-02,WASHINGTON,0,0,0,0,0,0
2020-10-02,2020-10-02,WATERTOWN,0,0,0,0,0,0
2020-10-02,2020-10-02,WENDE,0,0,0,0,0,0
2020-10-02,2020-10-02,WILLARD,0,0,0,0,0,0
2020-10-02,2020-10-02,WOODBOURNE,0,0,0,0,0,0
2020-10-02,2020-10-02,WYOMING,0,0,0,0,0,0
2020-09-30,2020-10-01,DOCCS,369,2,309,58,0,0
2020-09-30,2020-10-01,ADIRONDACK,0,0,0,0,0,0
2020-09-30,2020-10-01,ALBION,0,0,0,0,0,0
2020-09-30,2020-10-01,ALTONA,34,0,31,3,0,0
2020-09-30,2020-10-01,ATTICA,1,0,1,0,0,0
2020-09-30,2020-10-01,AUBURN,0,0,0,0,0,0
2020-09-30,2020-10-01,BARE HILL,0,0,0,0,0,0
2020-09-30,2020-10-01,BEDFORD HILL,0,0,0,0,0,0
2020-09-30,2020-10-01,CAPE VINCENT,79,0,0,79,0,0
2020-09-30,2020-10-01,CAYUGA,0,0,0,0,0,0
2020-09-30,2020-10-01,CLINTON,0,0,1,-1,0,0
2020-09-30,2020-10-01,COLLINS,-1,0,152,-153,0,0
2020-09-30,2020-10-01,COXSACKIE,0,0,0,0,0,0
2020-09-30,2020-10-01,DOWNSTATE,1,0,1,0,0,0
2020-09-30,2020-10-01,EASTERN,0,0,0,0,0,0
2020-09-30,2020-10-01,EDGECOMBE,0,0,0,0,0,0
2020-09-30,2020-10-01,ELMIRA,1,1,0,0,0,0
2020-09-30,2020-10-01,FISHKILL,0,0,0,0,0,0
2020-09-30,2020-10-01,FIVE POINTS,0,0,0,0,0,0
2020-09-30,2020-10-01,FRANKLIN,0,0,0,0,0,0
2020-09-30,2020-10-01,GOUVERNEUR,79,0,3,76,0,0
2020-09-30,2020-10-01,GOWANDA,0,0,87,-87,0,0
2020-09-30,2020-10-01,GREAT MEADOW,0,0,0,0,0,0
2020-09-30,2020-10-01,GREEN HAVEN,0,0,0,0,0,0
2020-09-30,2020-10-01,GREENE,27,1,-1,27,0,0
2020-09-30,2020-10-01,GROVELAND,-1,0,0,-1,0,0
2020-09-30,2020-10-01,HALE CREEK,0,0,0,0,0,0
2020-09-30,2020-10-01,HUDSON,0,0,0,0,0,0
2020-09-30,2020-10-01,LAKEVIEW,0,0,0,0,0,0
2020-09-30,2020-10-01,MARCY,0,0,0,0,0,0
2020-09-30,2020-10-01,MIDSTATE,0,0,0,0,0,0
2020-09-30,2020-10-01,MOHAWK,0,0,0,0,0,0
2020-09-30,2020-10-01,MORIAH,0,0,0,0,0,0
2020-09-30,2020-10-01,OGDENSBURG,57,0,1,56,0,0
2020-09-30,2020-10-01,ORLEANS,0,0,0,0,0,0
2020-09-30,2020-10-01,OTISVILLE,0,0,0,0,0,0
2020-09-30,2020-10-01,QUEENSBORO,0,0,0,0,0,0
2020-09-30,2020-10-01,RIVERVIEW,57,0,15,42,0,0
2020-09-30,2020-10-01,ROCHESTER,0,0,0,0,0,0
2020-09-30,2020-10-01,SHAWANGUNK,0,0,0,0,0,0
2020-09-30,2020-10-01,SING SING,0,0,0,0,0,0
2020-09-30,2020-10-01,SOUTHPORT,0,0,0,0,0,0
2020-09-30,2020-10-01,SULLIVAN,0,0,0,0,0,0
2020-09-30,2020-10-01,TACONIC,0,0,0,0,0,0
2020-09-30,2020-10-01,ULSTER,0,0,0,0,0,0
2020-09-30,2020-10-01,UPSTATE,0,0,0,0,0,0
2020-09-30,2020-10-01,WALLKILL,0,0,0,0,0,0
2020-09-30,2020-10-01,WASHINGTON,0,0,0,0,0,0
2020-09-30,2020-10-01,WATERTOWN,35,0,0,35,0,0
2020-09-30,2020-10-01,WENDE,0,0,17,-17,0,0
2020-09-30,2020-10-01,WILLARD,0,0,0,0,0,0
2020-09-30,2020-10-01,WOODBOURNE,0,0,1,-1,0,0
2020-09-30,2020-10-01,WYOMING,0,0,0,0,0,0
2020-09-29,2020-09-30,DOCCS,354,1,420,-67,0,0
2020-09-29,2020-09-30,ADIRONDACK,-2,0,-2,0,0,0
2020-09-29,2020-09-30,ALBION,0,0,0,0,0,0
2020-09-29,2020-09-30,ALTONA,34,0,0,34,0,0
2020-09-29,2020-09-30,ATTICA,1,0,0,1,0,0
2020-09-29,2020-09-30,AUBURN,0,0,-1,1,0,0
2020-09-29,2020-09-30,BARE HILL,0,0,0,0,0,0
2020-09-29,2020-09-30,BEDFORD HILL,17,0,0,17,0,0
2020-09-29,2020-09-30,CAPE VINCENT,75,0,0,75,0,0
2020-09-29,2020-09-30,CAYUGA,0,0,0,0,0,0
2020-09-29,2020-09-30,CLINTON,1,0,2,-1,0,0
2020-09-29,2020-09-30,COLLINS,2,0,177,-175,0,0
2020-09-29,2020-09-30,COXSACKIE,0,0,0,0,0,0
2020-09-29,2020-09-30,DOWNSTATE,0,0,0,0,0,0
2020-09-29,2020-09-30,EASTERN,2,0,2,0,0,0
2020-09-29,2020-09-30,EDGECOMBE,0,0,0,0,0,0
2020-09-29,2020-09-30,ELMIRA,1,1,1,-1,0,0
2020-09-29,2020-09-30,FISHKILL,0,0,0,0,0,0
2020-09-29,2020-09-30,FIVE POINTS,0,0,0,0,0,0
2020-09-29,2020-09-30,FRANKLIN,0,0,0,0,0,0
2020-09-29,2020-09-30,GOUVERNEUR,83,0,0,83,0,0
2020-09-29,2020-09-30,GOWANDA,0,0,193,-193,0,0
2020-09-29,2020-09-30,GREAT MEADOW,0,0,0,0,0,0
2020-09-29,2020-09-30,GREEN HAVEN,0,0,0,0,0,0
2020-09-29,2020-09-30,GREENE,0,0,0,0,0,0
2020-09-29,2020-09-30,GROVELAND,1,0,0,1,0,0
2020-09-29,2020-09-30,HALE CREEK,0,0,0,0,0,0
2020-09-29,2020-09-30,HUDSON,0,0,0,0,0,0
2020-09-29,2020-09-30,LAKEVIEW,0,0,0,0,0,0
2020-09-29,2020-09-30,MARCY,0,0,0,0,0,0
2020-09-29,2020-09-30,MIDSTATE,1,0,0,1,0,0
2020-09-29,2020-09-30,MOHAWK,1,0,-1,2,0,0
2020-09-29,2020-09-30,MORIAH,0,0,1,-1,0,0
2020-09-29,2020-09-30,OGDENSBURG,35,0,0,35,0,0
2020-09-29,2020-09-30,ORLEANS,0,0,0,0,0,0
2020-09-29,2020-09-30,OTISVILLE,0,0,0,0,0,0
2020-09-29,2020-09-30,QUEENSBORO,0,0,0,0,0,0
2020-09-29,2020-09-30,RIVERVIEW,66,0,0,66,0,0
2020-09-29,2020-09-30,ROCHESTER,0,0,0,0,0,0
2020-09-29,2020-09-30,SHAWANGUNK,0,0,0,0,0,0
2020-09-29,2020-09-30,SING SING,0,0,0,0,0,0
2020-09-29,2020-09-30,SOUTHPORT,0,0,0,0,0,0
2020-09-29,2020-09-30,SULLIVAN,0,0,0,0,0,0
2020-09-29,2020-09-30,TACONIC,0,0,0,0,0,0
2020-09-29,2020-09-30,ULSTER,0,0,0,0,0,0
2020-09-29,2020-09-30,UPSTATE,0,0,0,0,0,0
2020-09-29,2020-09-30,WALLKILL,0,0,0,0,0,0
2020-09-29,2020-09-30,WASHINGTON,0,0,0,0,0,0
2020-09-29,2020-09-30,WATERTOWN,36,0,0,36,0,0
2020-09-29,2020-09-30,WENDE,0,0,48,-48,0,0
2020-09-29,2020-09-30,WILLARD,0,0,0,0,0,0
2020-09-29,2020-09-30,WOODBOURNE,0,0,0,0,0,0
2020-09-29,2020-09-30,WYOMING,0,0,0,0,0,0
2020-09-28,2020-09-29,DOCCS,235,3,559,-327,0,0
2020-09-28,2020-09-29,ADIRONDACK,0,0,0,0,0,0
2020-09-28,2020-09-29,ALBION,0,0,0,0,0,0
2020-09-28,2020-09-29,ALTONA,0,0,0,0,0,0
2020-09-28,2020-09-29,ATTICA,2,0,0,2,0,0
2020-09-28,2020-09-29,AUBURN,0,0,0,0,0,0
2020-09-28,2020-09-29,BARE HILL,0,0,0,0,0,0
2020-09-28,2020-09-29,BEDFORD HILL,-1,0,-1,0,0,0
2020-09-28,2020-09-29,CAPE VINCENT,0,0,0,0,0,0
2020-09-28,2020-09-29,CAYUGA,0,0,0,0,0,0
2020-09-28,2020-09-29,CLINTON,0,0,-2,2,0,0
2020-09-28,2020-09-29,COLLINS,111,1,180,-70,0,0
2020-09-28,2020-09-29,COXSACKIE,0,0,0,0,0,0
2020-09-28,2020-09-29,DOWNSTATE,0,0,0,0,0,0
2020-09-28,2020-09-29,EASTERN,0,0,0,0,0,0
2020-09-28,2020-09-29,EDGECOMBE,0,0,0,0,0,0
2020-09-28,2020-09-29,ELMIRA,0,0,0,0,0,0
2020-09-28,2020-09-29,FISHKILL,0,0,0,0,0,0
2020-09-28,2020-09-29,FIVE POINTS,1,0,0,1,0,0
2020-09-28,2020-09-29,FRANKLIN,0,0,0,0,0,0
2020-09-28,2020-09-29,GOUVERNEUR,0,0,0,0,0,0
2020-09-28,2020-09-29,GOWANDA,118,0,165,-47,0,0
2020-09-28,2020-09-29,GREAT MEADOW,0,0,0,0,0,0
2020-09-28,2020-09-29,GREEN HAVEN,0,0,0,0,0,0
2020-09-28,2020-09-29,GREENE,0,0,0,0,0,0
2020-09-28,2020-09-29,GROVELAND,0,0,0,0,0,0
2020-09-28,2020-09-29,HALE CREEK,0,0,0,0,0,0
2020-09-28,2020-09-29,HUDSON,0,0,0,0,0,0
2020-09-28,2020-09-29,LAKEVIEW,1,1,102,-102,0,0
2020-09-28,2020-09-29,MARCY,0,0,0,0,0,0
2020-09-28,2020-09-29,MIDSTATE,0,0,0,0,0,0
2020-09-28,2020-09-29,MOHAWK,0,0,0,0,0,0
2020-09-28,2020-09-29,MORIAH,0,0,0,0,0,0
2020-09-28,2020-09-29,OGDENSBURG,2,0,1,1,0,0
2020-09-28,2020-09-29,ORLEANS,0,0,0,0,0,0
2020-09-28,2020-09-29,OTISVILLE,0,0,0,0,0,0
2020-09-28,2020-09-29,QUEENSBORO,0,0,0,0,0,0
2020-09-28,2020-09-29,RIVERVIEW,0,0,0,0,0,0
2020-09-28,2020-09-29,ROCHESTER,0,0,0,0,0,0
2020-09-28,2020-09-29,SHAWANGUNK,0,0,0,0,0,0
2020-09-28,2020-09-29,SING SING,0,0,0,0,0,0
2020-09-28,2020-09-29,SOUTHPORT,0,0,0,0,0,0
2020-09-28,2020-09-29,SULLIVAN,0,0,3,-3,0,0
2020-09-28,2020-09-29,TACONIC,0,0,0,0,0,0
2020-09-28,2020-09-29,ULSTER,0,0,0,0,0,0
2020-09-28,2020-09-29,UPSTATE,0,0,0,0,0,0
2020-09-28,2020-09-29,WALLKILL,0,0,0,0,0,0
2020-09-28,2020-09-29,WASHINGTON,0,0,0,0,0,0
2020-09-28,2020-09-29,WATERTOWN,0,0,0,0,0,0
2020-09-28,2020-09-29,WENDE,0,1,111,-112,0,0
2020-09-28,2020-09-29,WILLARD,0,0,0,0,0,0
2020-09-28,2020-09-29,WOODBOURNE,1,0,0,1,0,0
2020-09-28,2020-09-29,WYOMING,0,0,0,0,0,0
2020-09-25,2020-09-28,DOCCS,662,1,533,128,0,0
2020-09-25,2020-09-28,ADIRONDACK,0,0,0,0,0,0
2020-09-25,2020-09-28,ALBION,0,0,0,0,0,0
2020-09-25,2020-09-28,ALTONA,0,0,0,0,0,0
2020-09-25,2020-09-28,ATTICA,-1,0,0,-1,0,0
2020-09-25,2020-09-28,AUBURN,0,0,0,0,0,0
2020-09-25,2020-09-28,BARE HILL,0,0,0,0,0,0
2020-09-25,2020-09-28,BEDFORD HILL,0,0,0,0,0,0
2020-09-25,2020-09-28,CAPE VINCENT,0,0,0,0,0,0
2020-09-25,2020-09-28,CAYUGA,0,0,0,0,0,0
2020-09-25,2020-09-28,CLINTON,1,0,2,-1,0,0
2020-09-25,2020-09-28,COLLINS,221,0,102,119,0,0
2020-09-25,2020-09-28,COXSACKIE,0,0,0,0,0,0
2020-09-25,2020-09-28,DOWNSTATE,0,0,0,0,0,0
2020-09-25,2020-09-28,EASTERN,0,0,0,0,0,0
2020-09-25,2020-09-28,EDGECOMBE,0,0,0,0,0,0
2020-09-25,2020-09-28,ELMIRA,1,1,0,0,0,0
2020-09-25,2020-09-28,FISHKILL,0,0,0,0,0,0
2020-09-25,2020-09-28,FIVE POINTS,0,0,0,0,0,0
2020-09-25,2020-09-28,FRANKLIN,0,0,0,0,0,0
2020-09-25,2020-09-28,GOUVERNEUR,0,0,0,0,0,0
2020-09-25,2020-09-28,GOWANDA,305,0,176,129,0,0
2020-09-25,2020-09-28,GREAT MEADOW,0,0,2,-2,0,0
2020-09-25,2020-09-28,GREEN HAVEN,0,0,1,-1,0,0
2020-09-25,2020-09-28,GREENE,0,0,0,0,0,0
2020-09-25,2020-09-28,GROVELAND,0,0,-1,1,0,0
2020-09-25,2020-09-28,HALE CREEK,0,0,0,0,0,0
2020-09-25,2020-09-28,HUDSON,0,0,0,0,0,0
2020-09-25,2020-09-28,LAKEVIEW,0,0,66,-66,0,0
2020-09-25,2020-09-28,MARCY,0,0,0,0,0,0
2020-09-25,2020-09-28,MIDSTATE,0,0,0,0,0,0
2020-09-25,2020-09-28,MOHAWK,0,0,2,-2,0,0
2020-09-25,2020-09-28,MORIAH,1,0,0,1,0,0
2020-09-25,2020-09-28,OGDENSBURG,0,0,0,0,0,0
2020-09-25,2020-09-28,ORLEANS,0,0,0,0,0,0
2020-09-25,2020-09-28,OTISVILLE,0,0,0,0,0,0
2020-09-25,2020-09-28,QUEENSBORO,0,0,0,0,0,0
2020-09-25,2020-09-28,RIVERVIEW,0,0,0,0,0,0
2020-09-25,2020-09-28,ROCHESTER,0,0,0,0,0,0
2020-09-25,2020-09-28,SHAWANGUNK,0,0,0,0,0,0
2020-09-25,2020-09-28,SING SING,0,0,0,0,0,0
2020-09-25,2020-09-28,SOUTHPORT,0,0,0,0,0,0
2020-09-25,2020-09-28,SULLIVAN,0,0,0,0,0,0
2020-09-25,2020-09-28,TACONIC,0,0,0,0,0,0
2020-09-25,2020-09-28,ULSTER,0,0,0,0,0,0
2020-09-25,2020-09-28,UPSTATE,0,0,0,0,0,0
2020-09-25,2020-09-28,WALLKILL,0,0,0,0,0,0
2020-09-25,2020-09-28,WASHINGTON,0,0,0,0,0,0
2020-09-25,2020-09-28,WATERTOWN,0,0,0,0,0,0
2020-09-25,2020-09-28,WENDE,133,0,180,-47,0,0
2020-09-25,2020-09-28,WILLARD,0,0,0,0,0,0
2020-09-25,2020-09-28,WOODBOURNE,0,0,2,-2,0,0
2020-09-25,2020-09-28,WYOMING,1,0,1,0,0,0
2020-09-22,2020-09-25,DOCCS,1448,1,1039,408,0,0
2020-09-22,2020-09-25,ADIRONDACK,0,0,0,0,0,0
2020-09-22,2020-09-25,ALBION,1,0,1,0,0,0
2020-09-22,2020-09-25,ALTONA,0,0,0,0,0,0
2020-09-22,2020-09-25,ATTICA,0,1,241,-242,0,0
2020-09-22,2020-09-25,AUBURN,0,0,0,0,0,0
2020-09-22,2020-09-25,BARE HILL,0,0,0,0,0,0
2020-09-22,2020-09-25,BEDFORD HILL,2,0,2,0,0,0
2020-09-22,2020-09-25,CAPE VINCENT,0,0,0,0,0,0
2020-09-22,2020-09-25,CAYUGA,0,0,0,0,0,0
2020-09-22,2020-09-25,CLINTON,2,0,8,-6,0,0
2020-09-22,2020-09-25,COLLINS,415,0,68,347,0,0
2020-09-22,2020-09-25,COXSACKIE,0,0,0,0,0,0
2020-09-22,2020-09-25,DOWNSTATE,0,0,0,0,0,0
2020-09-22,2020-09-25,EASTERN,0,0,0,0,0,0
2020-09-22,2020-09-25,EDGECOMBE,0,0,0,0,0,0
2020-09-22,2020-09-25,ELMIRA,0,0,-1,1,0,0
2020-09-22,2020-09-25,FISHKILL,0,0,1,-1,0,0
2020-09-22,2020-09-25,FIVE POINTS,0,0,1,-1,0,0
2020-09-22,2020-09-25,FRANKLIN,1,0,0,1,0,0
2020-09-22,2020-09-25,GOUVERNEUR,1,0,0,1,0,0
2020-09-22,2020-09-25,GOWANDA,380,0,133,247,0,0
2020-09-22,2020-09-25,GREAT MEADOW,1,0,-1,2,0,0
2020-09-22,2020-09-25,GREEN HAVEN,0,0,0,0,0,0
2020-09-22,2020-09-25,GREENE,0,0,0,0,0,0
2020-09-22,2020-09-25,GROVELAND,2,0,12,-10,0,0
2020-09-22,2020-09-25,HALE CREEK,0,0,0,0,0,0
2020-09-22,2020-09-25,HUDSON,0,0,0,0,0,0
2020-09-22,2020-09-25,LAKEVIEW,292,0,124,168,0,0
2020-09-22,2020-09-25,MARCY,0,0,0,0,0,0
2020-09-22,2020-09-25,MIDSTATE,2,0,1,1,0,0
2020-09-22,2020-09-25,MOHAWK,0,0,-1,1,0,0
2020-09-22,2020-09-25,MORIAH,0,0,0,0,0,0
2020-09-22,2020-09-25,OGDENSBURG,0,0,0,0,0,0
2020-09-22,2020-09-25,ORLEANS,0,0,107,-107,0,0
2020-09-22,2020-09-25,OTISVILLE,0,0,0,0,0,0
2020-09-22,2020-09-25,QUEENSBORO,0,0,0,0,0,0
2020-09-22,2020-09-25,RIVERVIEW,0,0,0,0,0,0
2020-09-22,2020-09-25,ROCHESTER,0,0,0,0,0,0
2020-09-22,2020-09-25,SHAWANGUNK,0,0,0,0,0,0
2020-09-22,2020-09-25,SING SING,0,0,0,0,0,0
2020-09-22,2020-09-25,SOUTHPORT,0,0,0,0,0,0
2020-09-22,2020-09-25,SULLIVAN,2,0,0,2,0,0
